EID,Title,Authors,Cover Date,Source Title,DOI,Cited By Count,PubMed ID
2-s2.0-0019203771,The relation of kinematic factors to the acquisition of skill on a novel task,Pytel,1980-12-01,,,3,
2-s2.0-0019152852,On some modifications of cardio-vascular apparatus during sport practice,Budriesi. Sforza. Pili. Barucca. D'Alessandro. Epinati. Goldoni,1980-12-01,,,0,
2-s2.0-0019084737,Effect of early locomotor training on evoked potentials and the structural organization of the visual cortex dendrites of rats in ontogeny,Shimko. Popova,1980-11-01,,,1,
2-s2.0-0019066166,Effect of early motor training on visual and sensomotor cortical evoked potentials in rats,Volokhov. Shimko,1980-09-01,,10.1007/BF01187010,1,
2-s2.0-0019057990,Skill acquisition in nurse-midwifery education.,Rhode. Kauchak. Eggen,1980-09-01,,,0,
2-s2.0-0019310691,Electromyographic biofeedback for tension control during fine motor skill acquisition,French,1980-06-01,,10.1007/BF00998597,16,
2-s2.0-0040093922,Social-skills training with institutionalized elderly: Effects of precounseling structuring and overlearning on skill acquisition and transfer,Lopez,1980-05-01,,10.1037//0022-0167.27.3.286,14,
2-s2.0-0018990728,Predicting the success of cataract surgery,Murphy. Donderi,1980-03-01,,10.1007/BF00844910,10,
2-s2.0-85005687533,"Play Partner Preferences in Siberian Ibex, Capra ibex sibirica",Byers,1980-01-01,,10.1111/j.1439-0310.1980.tb00731.x,48,
2-s2.0-84990473748,Trainer Feedback: A Method for Teaching Interpersonal Skills,TUROCK,1980-01-01,,10.1002/j.1556-6978.1980.tb00916.x,5,
